,0,1,2,3,4,5,6,7,8,9,10
0,minute,IsHome,ScoredEarlier,Urgency,WinProb,WinningUnderdog,LosingFavorite,WastedXG,rnd1,rnd2,bias
1,-0.0001950829862151046,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.8550669753672915
