,0,1,2,3,4,5,6,7,8,9,10,11
0,minute,IsHome,ScoredEarlier,Urgency,WinProb,WinningUnderdog,LosingFavorite,WastedXG,IsPenalty,rnd1,rnd2,bias
1,-0.004892118074924276,-0.12496938950465221,0.026018948832323155,-0.009951267302002603,0.4210650655178766,0.07781651724484437,0.19880212513026008,-0.9389564213571676,-7.771561172376096e-16,0.03332557197360497,-0.06301631097541327,1.0646800917165016
