,0,1,2,3,4,5,6,7,8,9,10
0,minute,IsHome,ScoredEarlier,Urgency,WinProb,WinningUnderdog,LosingFavorite,WastedXG,rnd1,rnd2,bias
1,0.004964309831790637,-0.05414205701637115,0.14723039464122584,-0.12210301558900326,0.18048051523427244,-0.23453891399063034,-0.21283687925197864,1.0376326217524174,-0.04411315917596052,0.03762226786055399,0.7818870636354978
