,0,1,2,3,4,5,6,7,8,9,10
0,minute,IsHome,ScoredEarlier,Urgency,WinProb,WinningUnderdog,LosingFavorite,WastedXG,rnd1,rnd2,bias
1,-0.0003876354113994231,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.8645511233533062
