,0,1,2,3,4,5,6,7,8,9,10
0,minute,IsHome,ScoredEarlier,Urgency,WinProb,WinningUnderdog,LosingFavorite,WastedXG,rnd1,rnd2,bias
1,0.0004844905671755158,-0.09637321497856428,0.0018516288666053735,-0.015433237746601967,0.07151557436036055,0.025765524912367915,0.004110769126563225,0.022721326694203455,-0.006944389479742421,0.006159626084239633,0.8533875255555298
