,0,1,2,3,4,5,6,7,8,9,10
0,minute,IsHome,ScoredEarlier,Urgency,WinProb,WinningUnderdog,LosingFavorite,WastedXG,rnd1,rnd2,bias
1,-0.0002582198250888026,0.0,0.0,-0.024160801082755586,0.0,-0.0,-0.02544720734924838,-0.0,-0.0,0.0,0.8617710591526353
