,0,1,2,3,4,5,6,7,8,9,10,11
0,ScoredLater,minute,IsHome,ScoredEarlier,Urgency,WinProb,WinningUnderdog,LosingFavorite,WastedXG,rnd1,rnd2,bias
1,-0.08305272121232073,0.002198073886941017,-0.02649916674984546,0.03556996989507418,-0.14936160229888557,0.24875612015280413,-0.1622981125195167,-0.13157853620382348,-0.31774993209535174,-0.021780579788264406,0.014103633452056017,0.752746843907198
