,0,1,2,3,4,5,6,7,8,9,10
0,minute,IsHome,ScoredEarlier,Urgency,WinProb,WinningUnderdog,LosingFavorite,WastedXG,rnd1,rnd2,bias
1,0.0007696072606514003,-0.06350986223626925,-0.06142759525187382,-0.10070884596832479,0.0,0.027035952583909072,-0.03850119706820672,-0.0,0.04310002606906102,0.002742111329019352,0.8879165898421287
