,id,minute,xG,h_a,season,h_team,a_team,player,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG,ScaledIsGoal,IsHome,IsPenalty,WinProb,LoseProb,rnd1,rnd2,ScoreDiff,ChasingEq,ChasingWinner,WastedXG,Urgency,WinningUnderdog,LosingFavorite
6,425848,46,0.5539309978485107,h,2021,Everton,Southampton,Richarlison,2021-08-14 14:00:00,0,0,0,0,True,0,1,0.0,1.80527900385434,1,False,0.49019607843137253,0.2518891687657431,True,-1,-1,True,False,0.0,0.21621621621621623,0.0,1.0
15,437795,62,0.2354560047388076,h,2021,Everton,Watford,Richarlison,2021-10-23 14:00:00,0,0,0,0,True,1,1,0.0,4.24707792485184,1,False,0.5747126436781609,0.19493177387914232,True,2,0,False,True,0.0,0.5517241379310345,0.0,0.0
16,440657,54,0.6106290221214294,a,2021,Wolverhampton Wanderers,Everton,Richarlison,2021-11-01 20:00:00,0,0,0,0,False,0,2,0.0,0.0,0,False,0.2777777777777778,0.4484304932735426,False,-1,-2,False,False,0.0,-1.0,0.0,2.0
22,447247,78,0.2374330013990402,h,2021,Everton,Arsenal,Richarlison,2021-12-06 20:00:00,0,0,0,0,True,0,1,0.0708689987659454,4.2117144377893645,1,False,0.28169014084507044,0.4608294930875576,False,-1,-1,True,False,0.0,1.1428571428571428,0.0,1.0
35,460013,33,0.4448640048503876,h,2021,Everton,Manchester City,Richarlison,2022-02-26 17:30:00,0,0,0,0,False,0,0,0.0,0.0,1,False,0.08210180623973727,0.8,False,2,0,False,True,0.0,0.034482758620689724,0.0,0.0
47,466357,17,0.761132001876831,a,2021,Burnley,Everton,Richarlison,2022-04-06 18:30:00,0,0,1,0,True,0,1,0.0,1.3138325514288696,0,True,0.3225806451612903,0.38910505836575876,False,-1,-1,True,False,0.0,-0.12621359223300976,0.0,1.0
49,466361,40,0.7611690163612366,a,2021,Burnley,Everton,Richarlison,2022-04-06 18:30:00,1,0,0,0,True,1,1,0.8151636011898518,1.313768661762526,0,True,0.3225806451612903,0.38910505836575876,False,-1,0,False,True,0.0,0.125,0.0,0.0
55,469350,16,0.5148289799690247,h,2021,Everton,Leicester,Richarlison,2022-04-20 18:45:00,0,0,1,0,False,0,1,0.0,0.0,1,False,0.3861003861003861,0.3448275862068966,False,2,-1,True,False,0.0,-0.13461538461538458,0.0,1.0
58,469366,82,0.4994989931583404,h,2021,Everton,Leicester,Richarlison,2022-04-20 18:45:00,0,0,1,0,False,0,1,0.6599200814962387,0.0,1,False,0.3861003861003861,0.3448275862068966,False,-1,-1,True,False,0.0,1.3684210526315788,0.0,1.0
63,472065,46,0.3359650075435638,h,2021,Everton,Chelsea,Richarlison,2022-05-01 13:00:00,0,0,0,0,True,0,0,0.0,2.976500461496224,1,False,0.19011406844106465,0.5847953216374269,True,-1,0,False,True,0.0,0.21621621621621623,0.0,0.0
65,474030,29,0.2669000029563904,a,2021,Leicester,Everton,Richarlison,2022-05-08 13:00:00,0,0,0,0,False,1,1,0.0,0.0,0,False,0.3597122302158274,0.3717472118959108,False,2,0,False,True,0.0,-0.01098901098901095,0.0,0.0
70,476484,3,0.5180109739303589,h,2021,Everton,Brentford,Richarlison,2022-05-15 15:30:00,0,0,1,0,False,0,0,0.0,0.0,1,False,0.5181347150259068,0.234192037470726,False,2,0,False,True,0.0,-0.23076923076923073,0.0,0.0
73,476499,46,0.7611690163612366,h,2021,Everton,Brentford,Richarlison,2022-05-15 15:30:00,0,0,0,0,True,1,0,0.6906521767377853,1.313768661762526,1,True,0.5181347150259068,0.234192037470726,False,-1,1,False,False,0.0,-1.0,1.0,0.0
