id,minute,xG,h_a,season,h_team,a_team,player,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG
480296,66,0.03238489851355553,a,2022,Bayer Leverkusen,Augsburg,Elvis Rexhbecaj,2022-08-13 13:30:00,0,0,0,0,False,1,1,0.0
486592,62,0.013275399804115295,h,2022,Augsburg,Hertha Berlin,Elvis Rexhbecaj,2022-09-04 13:30:00,0,0,0,0,False,0,1,0.0
487227,40,0.01036749966442585,a,2022,Werder Bremen,Augsburg,Elvis Rexhbecaj,2022-09-09 18:30:00,0,0,0,0,False,0,0,0.0
487228,42,0.012058000080287457,a,2022,Werder Bremen,Augsburg,Elvis Rexhbecaj,2022-09-09 18:30:00,0,0,0,0,False,0,0,0.01036749966442585
491504,62,0.019597100093960762,h,2022,Augsburg,Wolfsburg,Elvis Rexhbecaj,2022-10-08 13:30:00,0,0,0,0,False,1,1,0.0
493722,77,0.021535299718379974,a,2022,FC Cologne,Augsburg,Elvis Rexhbecaj,2022-10-16 13:30:00,0,0,0,0,False,2,2,0.0
496388,49,0.016964999958872795,a,2022,VfB Stuttgart,Augsburg,Elvis Rexhbecaj,2022-10-29 13:30:00,0,0,0,0,False,1,1,0.0
505791,14,0.016659000888466835,a,2022,Freiburg,Augsburg,Elvis Rexhbecaj,2023-01-28 14:30:00,0,0,0,0,False,0,1,0.0
506822,64,0.0242248997092247,h,2022,Augsburg,Bayer Leverkusen,Elvis Rexhbecaj,2023-02-03 19:30:00,0,0,0,0,False,1,0,0.0
509329,37,0.03397350013256073,h,2022,Augsburg,Hoffenheim,Elvis Rexhbecaj,2023-02-17 19:30:00,0,0,0,0,False,0,0,0.0
514863,22,0.019698800519108772,h,2022,Augsburg,Schalke 04,Elvis Rexhbecaj,2023-03-18 14:30:00,0,0,0,0,False,0,0,0.0
516219,42,0.031141500920057297,a,2022,Wolfsburg,Augsburg,Elvis Rexhbecaj,2023-04-01 13:30:00,0,0,0,0,False,1,0,0.0
517855,28,0.020619099959731102,h,2022,Augsburg,FC Cologne,Elvis Rexhbecaj,2023-04-08 13:30:00,0,0,0,0,False,0,2,0.0
519283,86,0.014042099937796593,a,2022,RasenBallsport Leipzig,Augsburg,Elvis Rexhbecaj,2023-04-15 13:30:00,0,0,0,0,False,2,3,0.0
522628,6,0.01617041788995266,a,2022,Eintracht Frankfurt,Augsburg,Elvis Rexhbecaj,2023-04-29 13:30:00,0,0,0,0,False,0,0,0.0
522630,24,0,a,2022,Eintracht Frankfurt,Augsburg,Elvis Rexhbecaj,2023-04-29 13:30:00,0,0,0,0,False,0,0,0.01617041788995266
522644,86,0.03158613294363022,a,2022,Eintracht Frankfurt,Augsburg,Elvis Rexhbecaj,2023-04-29 13:30:00,0,0,0,0,False,1,0,0.01617041788995266
522710,33,0.030979832634329796,a,2022,VfB Stuttgart,Borussia M.Gladbach,Luca Netz,2023-04-29 13:30:00,0,0,0,0,False,0,1,0.0
526225,75,0.3268575966358185,a,2022,Borussia Dortmund,Borussia M.Gladbach,Luca Netz,2023-05-13 16:30:00,0,0,0,0,False,1,4,0.0
528258,45,0.03677228093147278,a,2022,Bayer Leverkusen,Borussia M.Gladbach,Luca Netz,2023-05-21 17:30:00,0,0,0,0,False,0,2,0.0
529078,2,0.5166290402412415,h,2022,Borussia M.Gladbach,Augsburg,Luca Netz,2023-05-27 13:30:00,0,0,0,0,True,0,0,0.0
497271,51,0.0335610993206501,a,2022,Union Berlin,Borussia M.Gladbach,Nathan N&#039;Goumou Minpol,2022-10-30 14:30:00,0,0,0,0,False,1,0,0.0
505052,34,0.0392875000834465,h,2022,Borussia M.Gladbach,Bayer Leverkusen,Nathan N&#039;Goumou Minpol,2023-01-22 16:30:00,0,0,0,0,False,0,1,0.0
518657,30,0.022607700899243355,h,2022,Borussia M.Gladbach,Wolfsburg,Nathan N&#039;Goumou Minpol,2023-04-09 13:30:00,0,0,1,0,False,0,0,0.0
518659,33,0.06995850056409836,h,2022,Borussia M.Gladbach,Wolfsburg,Nathan N&#039;Goumou Minpol,2023-04-09 13:30:00,0,0,0,0,True,0,0,0.022607700899243355
518664,56,0.06207570061087608,h,2022,Borussia M.Gladbach,Wolfsburg,Nathan N&#039;Goumou Minpol,2023-04-09 13:30:00,1,0,0,0,False,1,0,0.09256620146334171
522718,62,0.027803713455796242,a,2022,VfB Stuttgart,Borussia M.Gladbach,Nathan N&#039;Goumou Minpol,2023-04-29 13:30:00,0,0,0,0,False,0,1,0.0
524469,31,0.012770222499966621,h,2022,Borussia M.Gladbach,Bochum,Nathan N&#039;Goumou Minpol,2023-05-06 13:30:00,0,0,0,0,False,0,0,0.0
524472,38,0.47981715202331543,h,2022,Borussia M.Gladbach,Bochum,Nathan N&#039;Goumou Minpol,2023-05-06 13:30:00,0,0,0,0,False,1,0,0.012770222499966621
524485,60,0.08198200911283493,h,2022,Borussia M.Gladbach,Bochum,Nathan N&#039;Goumou Minpol,2023-05-06 13:30:00,0,0,0,0,False,1,0,0.49258737452328205
524489,72,0.053141068667173386,h,2022,Borussia M.Gladbach,Bochum,Nathan N&#039;Goumou Minpol,2023-05-06 13:30:00,0,0,0,0,False,1,0,0.574569383636117
524491,76,0.2516321539878845,h,2022,Borussia M.Gladbach,Bochum,Nathan N&#039;Goumou Minpol,2023-05-06 13:30:00,0,0,0,0,False,1,0,0.6277104523032904
526201,26,0.05051759257912636,a,2022,Borussia Dortmund,Borussia M.Gladbach,Nathan N&#039;Goumou Minpol,2023-05-13 16:30:00,0,0,0,0,False,0,3,0.0
526216,53,0.013882269151508808,a,2022,Borussia Dortmund,Borussia M.Gladbach,Nathan N&#039;Goumou Minpol,2023-05-13 16:30:00,0,0,0,0,False,0,4,0.05051759257912636
506212,1,0.063093401491642,h,2022,Schalke 04,FC Cologne,Moritz Jenz,2023-01-29 14:30:00,0,0,0,0,False,0,0,0.0
507348,27,0.015975400805473328,a,2022,Borussia M.Gladbach,Schalke 04,Moritz Jenz,2023-02-04 17:30:00,0,0,0,0,False,0,0,0.0
508104,60,0.06848660111427307,h,2022,Schalke 04,Wolfsburg,Moritz Jenz,2023-02-10 19:30:00,0,0,0,0,False,0,0,0.0
508106,65,0.08802930265665054,h,2022,Schalke 04,Wolfsburg,Moritz Jenz,2023-02-10 19:30:00,0,0,0,0,False,0,0,0.06848660111427307
