id,minute,xG,h_a,season,h_team,a_team,player,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG
232922,16,0.5408759713172913,a,2018,Wolverhampton Wanderers,Everton,Richarlison,2018-08-11 19:30:00,0,0,1,0,True,0,0,0.0
232933,66,0.06049380078911781,a,2018,Wolverhampton Wanderers,Everton,Richarlison,2018-08-11 19:30:00,1,0,0,0,True,1,1,0.5408759713172913
233068,30,0.4939660131931305,h,2018,Everton,Southampton,Richarlison,2018-08-18 17:00:00,0,0,0,0,True,1,0,0.0
233079,73,0.0747905969619751,h,2018,Everton,Southampton,Richarlison,2018-08-18 17:00:00,1,0,0,0,False,2,1,0.4939660131931305
233234,18,0.0464916005730629,a,2018,Bournemouth,Everton,Richarlison,2018-08-25 17:00:00,0,0,0,0,False,0,0,0.0
234005,20,0.04767850041389465,a,2018,Arsenal,Everton,Richarlison,2018-09-23 15:00:00,0,0,0,0,False,0,0,0.0
234006,27,0.021014200523495674,a,2018,Arsenal,Everton,Richarlison,2018-09-23 15:00:00,0,0,0,0,False,0,0,0.04767850041389465
234009,43,0.05623539909720421,a,2018,Arsenal,Everton,Richarlison,2018-09-23 15:00:00,0,0,0,0,False,0,0,0.06869270093739033
234015,68,0.05537170171737671,a,2018,Arsenal,Everton,Richarlison,2018-09-23 15:00:00,0,0,0,0,False,0,2,0.12492810003459454
234337,16,0.03687170147895813,h,2018,Everton,Fulham,Richarlison,2018-09-29 14:00:00,0,0,0,0,False,0,0,0.0
234340,29,0.03919199854135513,h,2018,Everton,Fulham,Richarlison,2018-09-29 14:00:00,0,0,0,0,False,0,0,0.03687170147895813
234346,47,0.14152899384498596,h,2018,Everton,Fulham,Richarlison,2018-09-29 14:00:00,0,0,0,0,False,0,0,0.07606370002031326
234350,52,0.024356700479984283,h,2018,Everton,Fulham,Richarlison,2018-09-29 14:00:00,0,0,0,0,False,0,0,0.21759269386529922
234353,59,0.028723200783133507,h,2018,Everton,Fulham,Richarlison,2018-09-29 14:00:00,0,0,0,0,False,1,0,0.2419493943452835
249039,6,0.5092570185661316,a,2018,Leicester,Everton,Richarlison,2018-10-06 14:00:00,0,0,0,0,True,0,0,0.0
249433,41,0.06694220006465912,h,2018,Everton,Crystal Palace,Richarlison,2018-10-21 15:00:00,0,0,0,0,False,0,0,0.0
249706,45,0.045965999364852905,a,2018,Manchester United,Everton,Richarlison,2018-10-28 15:00:00,0,0,0,0,False,0,1,0.0
249716,81,0.042507100850343704,a,2018,Manchester United,Everton,Richarlison,2018-10-28 15:00:00,0,0,0,0,False,1,2,0.045965999364852905
249832,20,0.04549669846892357,h,2018,Everton,Brighton,Richarlison,2018-11-03 15:00:00,0,0,1,0,False,0,0,0.0
249834,25,0.12686799466609955,h,2018,Everton,Brighton,Richarlison,2018-11-03 15:00:00,0,0,1,0,True,0,0,0.04549669846892357
249844,61,0.06699270009994507,h,2018,Everton,Brighton,Richarlison,2018-11-03 15:00:00,1,0,1,0,False,2,1,0.17236469313502312
249845,76,0.5996720194816589,h,2018,Everton,Brighton,Richarlison,2018-11-03 15:00:00,1,0,0,0,True,2,1,0.23935739323496819
250186,1,0.03731049969792366,a,2018,Chelsea,Everton,Richarlison,2018-11-11 14:15:00,0,0,0,0,False,0,0,0.0
250347,39,0.3559730052947998,h,2018,Everton,Cardiff,Richarlison,2018-11-24 15:00:00,0,0,0,0,False,0,0,0.0
250360,89,0.08670870214700699,h,2018,Everton,Cardiff,Richarlison,2018-11-24 15:00:00,0,0,0,0,False,1,0,0.3559730052947998
250743,29,0.041134901344776154,a,2018,Liverpool,Everton,Richarlison,2018-12-02 16:15:00,0,0,0,0,False,0,0,0.0
250933,15,0.08685489743947983,h,2018,Everton,Newcastle United,Richarlison,2018-12-05 19:45:00,0,0,1,0,False,0,0,0.0
250932,15,0.10415200144052505,h,2018,Everton,Newcastle United,Richarlison,2018-12-05 19:45:00,0,0,1,0,False,0,0,0.08685489743947983
250935,20,0.05617399886250496,h,2018,Everton,Newcastle United,Richarlison,2018-12-05 19:45:00,0,0,1,0,False,0,1,0.19100689888000488
250940,36,0.06601220369338989,h,2018,Everton,Newcastle United,Richarlison,2018-12-05 19:45:00,0,0,1,0,False,0,1,0.24718089774250984
250941,37,0.47973600029945374,h,2018,Everton,Newcastle United,Richarlison,2018-12-05 19:45:00,0,0,0,0,True,0,1,0.31319310143589973
250947,68,0.024295300245285034,h,2018,Everton,Newcastle United,Richarlison,2018-12-05 19:45:00,1,0,0,0,False,1,1,0.7929291017353535
251218,14,0.4565730094909668,h,2018,Everton,Watford,Richarlison,2018-12-10 20:00:00,0,0,0,0,True,0,0,0.0
251239,89,0.04773610085248947,h,2018,Everton,Watford,Richarlison,2018-12-10 20:00:00,1,0,0,0,False,1,1,0.4565730094909668
251242,14,0.3456839919090271,a,2018,Manchester City,Everton,Richarlison,2018-12-15 12:30:00,0,0,0,0,False,0,0,0.0
251258,70,0.12849800288677216,a,2018,Manchester City,Everton,Richarlison,2018-12-15 12:30:00,0,0,0,0,False,1,3,0.3456839919090271
251262,86,0.051434099674224854,a,2018,Manchester City,Everton,Richarlison,2018-12-15 12:30:00,0,0,0,0,False,1,3,0.47418199479579926
251695,9,0.11255499720573425,h,2018,Everton,Tottenham,Richarlison,2018-12-23 16:00:00,0,0,0,0,False,0,0,0.0
251924,70,0.05158820003271103,a,2018,Burnley,Everton,Richarlison,2018-12-26 15:00:00,0,0,1,0,False,3,1,0.0
251926,72,0.09036780148744583,a,2018,Burnley,Everton,Richarlison,2018-12-26 15:00:00,0,0,1,0,False,4,1,0.05158820003271103
251932,92,0.14088599383831024,a,2018,Burnley,Everton,Richarlison,2018-12-26 15:00:00,0,0,0,0,True,4,1,0.14195600152015686
263634,28,0.058274198323488235,a,2018,Brighton,Everton,Richarlison,2018-12-29 15:00:00,0,0,0,0,False,0,0,0.0
263637,43,0.05968249961733818,a,2018,Brighton,Everton,Richarlison,2018-12-29 15:00:00,0,0,0,0,False,0,0,0.058274198323488235
263643,60,0.07202289998531342,a,2018,Brighton,Everton,Richarlison,2018-12-29 15:00:00,0,0,0,0,False,0,1,0.11795669794082642
274118,11,0.09208150207996368,h,2018,Everton,Leicester,Richarlison,2019-01-01 12:30:00,0,0,0,0,False,0,0,0.0
274132,72,0.07581959664821625,h,2018,Everton,Leicester,Richarlison,2019-01-01 12:30:00,0,0,0,0,False,0,1,0.09208150207996368
274134,73,0.1250240057706833,h,2018,Everton,Leicester,Richarlison,2019-01-01 12:30:00,0,0,0,0,False,0,1,0.16790109872817993
274133,73,0.0493743009865284,h,2018,Everton,Leicester,Richarlison,2019-01-01 12:30:00,0,0,0,0,False,0,1,0.2929251044988632
274538,41,0.02297930046916008,h,2018,Everton,Bournemouth,Richarlison,2019-01-13 14:15:00,0,0,0,0,False,0,0,0.0
274544,48,0.4905039966106415,h,2018,Everton,Bournemouth,Richarlison,2019-01-13 14:15:00,0,0,0,0,False,0,0,0.02297930046916008
274552,76,0.06729219853878021,h,2018,Everton,Bournemouth,Richarlison,2019-01-13 14:15:00,0,0,0,0,False,1,0,0.5134832970798016
274553,82,0.10196200013160706,h,2018,Everton,Bournemouth,Richarlison,2019-01-13 14:15:00,0,0,0,0,False,1,0,0.5807754956185818
274933,2,0.4609780013561249,a,2018,Huddersfield,Everton,Richarlison,2019-01-29 19:45:00,0,0,0,0,True,0,0,0.0
274932,2,0.38537999987602234,a,2018,Huddersfield,Everton,Richarlison,2019-01-29 19:45:00,1,0,0,0,False,0,0,0.4609780013561249
274946,57,0.04789489880204201,a,2018,Huddersfield,Everton,Richarlison,2019-01-29 19:45:00,1,0,0,0,False,1,0,0.8463580012321472
275919,9,0.025450900197029114,a,2018,Cardiff,Everton,Richarlison,2019-02-26 19:45:00,0,0,0,0,False,0,0,0.0
276345,66,0.03096730075776577,h,2018,Everton,Liverpool,Richarlison,2019-03-03 16:15:00,0,0,0,0,False,0,0,0.0
276348,71,0.021633099764585495,h,2018,Everton,Liverpool,Richarlison,2019-03-03 16:15:00,0,0,0,0,False,0,0,0.03096730075776577
284536,13,0.03691459819674492,a,2018,Newcastle United,Everton,Richarlison,2019-03-09 15:00:00,0,0,1,0,False,0,0,0.0
284543,31,0.6319839954376221,a,2018,Newcastle United,Everton,Richarlison,2019-03-09 15:00:00,0,0,0,0,True,1,0,0.03691459819674492
286893,48,0.6313310265541077,h,2018,Everton,Chelsea,Richarlison,2019-03-17 16:30:00,0,0,0,0,True,0,0,0.0
286898,65,0.058328498154878616,h,2018,Everton,Chelsea,Richarlison,2019-03-17 16:30:00,1,0,0,0,False,1,0,0.6313310265541077
286902,75,0.06612569838762283,h,2018,Everton,Chelsea,Richarlison,2019-03-17 16:30:00,1,0,0,0,False,2,0,0.6896595247089863
287721,39,0.07170870155096054,a,2018,West Ham,Everton,Richarlison,2019-03-30 17:30:00,0,0,0,0,False,2,0,0.0
287726,60,0.0222012996673584,a,2018,West Ham,Everton,Richarlison,2019-03-30 17:30:00,0,0,0,0,False,2,0,0.07170870155096054
287730,82,0.32546699047088623,a,2018,West Ham,Everton,Richarlison,2019-03-30 17:30:00,0,0,0,0,False,2,0,0.09391000121831894
292593,60,0.059174299240112305,h,2018,Everton,Arsenal,Richarlison,2019-04-07 14:05:00,0,0,0,0,False,1,0,0.0
