id,minute,xG,h_a,season,h_team,a_team,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore
366792,43,0.09550320357084274,h,2019,Aston Villa,Wolverhampton Wanderers,2020-06-27 11:30:00,0,0,0,0,False,0,0
373046,74,0.2622790038585663,h,2019,Aston Villa,Arsenal,2020-07-21 19:15:00,0,0,0,0,False,1,0
373826,81,0.03760699927806854,a,2019,West Ham,Aston Villa,2020-07-26 15:00:00,0,0,0,0,False,0,0
309982,13,0.06730099767446518,a,2019,Crystal Palace,Everton,2019-08-10 15:00:00,0,0,0,0,False,0,0
309991,53,0.016729099676012993,a,2019,Crystal Palace,Everton,2019-08-10 15:00:00,0,0,0,0,False,0,0
309995,67,0.06845050305128098,a,2019,Crystal Palace,Everton,2019-08-10 15:00:00,0,0,0,0,False,0,0
310526,7,0.014883800409734249,h,2019,Everton,Watford,2019-08-17 15:00:00,0,0,0,0,False,0,0
310532,40,0.27920299768447876,h,2019,Everton,Watford,2019-08-17 15:00:00,0,0,0,0,False,1,0
310536,59,0.047987200319767,h,2019,Everton,Watford,2019-08-17 15:00:00,0,0,0,0,False,1,0
312214,10,0.018397200852632523,a,2019,Aston Villa,Everton,2019-08-23 20:00:00,0,0,0,0,False,0,0
316291,4,0.34796398878097534,h,2019,Everton,Wolverhampton Wanderers,2019-09-01 14:00:00,0,0,1,0,True,0,0
316307,79,0.05657289922237396,h,2019,Everton,Wolverhampton Wanderers,2019-09-01 14:00:00,1,0,0,0,True,2,2
316308,81,0.044043898582458496,h,2019,Everton,Wolverhampton Wanderers,2019-09-01 14:00:00,1,0,0,0,False,3,2
317874,14,0.03185579925775528,a,2019,Bournemouth,Everton,2019-09-15 13:00:00,0,0,0,0,False,0,0
317877,18,0.023899100720882416,a,2019,Bournemouth,Everton,2019-09-15 13:00:00,0,0,0,0,False,0,0
317882,36,0.04724070057272911,a,2019,Bournemouth,Everton,2019-09-15 13:00:00,0,0,0,0,False,0,1
317892,80,0.09346140176057816,a,2019,Bournemouth,Everton,2019-09-15 13:00:00,0,0,0,0,False,1,3
320394,4,0.06248680129647255,h,2019,Everton,Sheffield United,2019-09-21 14:00:00,0,0,0,0,False,0,0
320398,29,0.07172039896249771,h,2019,Everton,Sheffield United,2019-09-21 14:00:00,0,0,0,0,False,0,0
320401,42,0.3157060146331787,h,2019,Everton,Sheffield United,2019-09-21 14:00:00,0,0,0,0,False,0,0
322849,38,0.02734209969639778,h,2019,Everton,Manchester City,2019-09-28 16:30:00,0,0,0,0,False,1,1
322855,50,0.07230190187692642,h,2019,Everton,Manchester City,2019-09-28 16:30:00,0,0,0,0,False,1,1
324079,51,0.034306999295949936,a,2019,Burnley,Everton,2019-10-05 15:00:00,0,0,0,0,False,0,0
324082,62,0.06730470061302185,a,2019,Burnley,Everton,2019-10-05 15:00:00,0,0,0,0,False,0,0
325311,22,0.13678300380706787,h,2019,Everton,West Ham,2019-10-19 12:30:00,0,0,0,0,False,1,0
325316,39,0.06902670115232468,h,2019,Everton,West Ham,2019-10-19 12:30:00,0,0,0,0,False,1,0
327207,19,0.10580100119113922,a,2019,Brighton,Everton,2019-10-26 15:00:00,0,0,0,0,False,0,1
327216,50,0.08661890029907227,a,2019,Brighton,Everton,2019-10-26 15:00:00,0,0,0,0,False,0,1
329941,24,0.02537439949810505,h,2019,Everton,Tottenham,2019-11-03 16:30:00,0,0,0,0,False,0,0
329944,32,0.06392759829759598,h,2019,Everton,Tottenham,2019-11-03 16:30:00,0,0,0,0,False,0,0
329945,42,0.07438330352306366,h,2019,Everton,Tottenham,2019-11-03 16:30:00,0,0,0,0,False,0,0
329946,60,0.07417789846658707,h,2019,Everton,Tottenham,2019-11-03 16:30:00,0,0,0,0,False,0,0
330676,61,0.04646730050444603,a,2019,Southampton,Everton,2019-11-09 15:00:00,0,0,1,0,False,1,1
330679,71,0.04871220141649246,a,2019,Southampton,Everton,2019-11-09 15:00:00,0,0,1,0,False,1,1
330681,74,0.34025800228118896,a,2019,Southampton,Everton,2019-11-09 15:00:00,0,0,0,0,True,1,1
332286,17,0.02562049962580204,h,2019,Everton,Norwich,2019-11-23 15:00:00,0,0,0,0,False,0,0
332300,63,0.04943560063838959,h,2019,Everton,Norwich,2019-11-23 15:00:00,0,0,0,0,False,0,1
334466,22,0.3644919991493225,a,2019,Leicester,Everton,2019-12-01 16:30:00,0,0,0,0,True,0,0
334474,50,0.05654849857091904,a,2019,Leicester,Everton,2019-12-01 16:30:00,1,0,0,0,False,1,0
334479,62,0.36329200863838196,a,2019,Leicester,Everton,2019-12-01 16:30:00,1,0,0,0,False,1,0
335153,18,0.06461109966039658,a,2019,Liverpool,Everton,2019-12-04 20:15:00,0,0,1,0,False,0,2
335161,47,0.26662299036979675,a,2019,Liverpool,Everton,2019-12-04 20:15:00,0,0,0,0,True,1,4
335165,60,0.03696279972791672,a,2019,Liverpool,Everton,2019-12-04 20:15:00,1,0,0,0,False,2,4
335461,4,0.5937560200691223,h,2019,Everton,Chelsea,2019-12-07 12:30:00,0,0,0,0,True,0,0
335471,50,0.07369039952754974,h,2019,Everton,Chelsea,2019-12-07 12:30:00,1,0,0,0,False,2,0
338411,16,0.05014580115675926,h,2019,Everton,Arsenal,2019-12-21 12:30:00,0,0,0,0,False,0,0
338416,46,0.058848101645708084,h,2019,Everton,Arsenal,2019-12-21 12:30:00,0,0,0,0,False,0,0
339570,4,0.026613399386405945,h,2019,Everton,Burnley,2019-12-26 15:00:00,0,0,0,0,False,0,0
339579,32,0.019531600177288055,h,2019,Everton,Burnley,2019-12-26 15:00:00,0,0,0,0,False,0,0
339765,44,0.02880069985985756,a,2019,Newcastle United,Everton,2019-12-28 15:00:00,0,0,0,0,False,1,0
339767,48,0.02379859983921051,a,2019,Newcastle United,Everton,2019-12-28 15:00:00,0,0,0,0,False,1,0
339777,59,0.09335590153932571,a,2019,Newcastle United,Everton,2019-12-28 15:00:00,0,0,0,0,False,1,1
351583,70,0.6314020156860352,a,2019,Manchester City,Everton,2020-01-01 17:30:00,0,0,0,0,True,0,2
351726,17,0.026780100539326668,h,2019,Everton,Brighton,2020-01-11 15:00:00,0,0,1,0,False,0,0
351729,36,0.06028829887509346,h,2019,Everton,Brighton,2020-01-11 15:00:00,0,0,1,0,False,0,0
351730,37,0.11957400292158127,h,2019,Everton,Brighton,2020-01-11 15:00:00,0,0,0,0,True,0,0
351735,54,0.13811899721622467,h,2019,Everton,Brighton,2020-01-11 15:00:00,1,0,0,0,False,1,0
351740,74,0.12435799837112427,h,2019,Everton,Brighton,2020-01-11 15:00:00,1,0,0,0,False,1,0
352457,4,0.12307900190353394,a,2019,Watford,Everton,2020-02-01 15:00:00,0,0,0,0,False,0,0
352654,29,0.02857919968664646,h,2019,Everton,Crystal Palace,2020-02-08 12:30:00,0,0,1,0,False,1,0
352655,31,0.062365300953388214,h,2019,Everton,Crystal Palace,2020-02-08 12:30:00,0,0,1,0,False,1,0
352663,58,0.11886300146579742,h,2019,Everton,Crystal Palace,2020-02-08 12:30:00,0,0,0,0,True,1,1
352668,87,0.028884299099445343,h,2019,Everton,Crystal Palace,2020-02-08 12:30:00,1,0,0,0,False,2,1
352671,90,0.03436540067195892,h,2019,Everton,Crystal Palace,2020-02-08 12:30:00,1,0,0,0,False,3,1
353118,44,0.028516599908471107,a,2019,Arsenal,Everton,2020-02-23 16:30:00,0,0,1,0,False,1,2
353121,48,0.8478360176086426,a,2019,Arsenal,Everton,2020-02-23 16:30:00,0,0,0,0,True,1,3
353126,71,0.034314900636672974,a,2019,Arsenal,Everton,2020-02-23 16:30:00,1,0,0,0,False,2,3
