,id,minute,xG,h_a,season,h_team,a_team,player,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG,ScaledIsGoal,IsHome,IsPenalty,WinProb,LoseProb,rnd1,rnd2,ScoreDiff,ChasingEq,ChasingWinner,WastedXG,Urgency,WinningUnderdog,LosingFavorite
5018,292600,71,0.5363060235977173,h,2018,Everton,Arsenal,Gylfi Sigurdsson,2019-04-07 14:05:00,0,0,0,0,False,1,0,0.198802500963211,0.0,1,False,0.3460207612456747,0.40322580645161293,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5030,276211,91,0.2645530104637146,h,2018,Burnley,Crystal Palace,Peter Crouch,2019-03-02 15:00:00,0,0,0,0,False,1,2,0.0,0.0,1,False,0.3436426116838488,0.3846153846153846,False,2,-1,True,False,0.0,2.103448275862069,0.0,1.0
5033,249827,92,0.5026100277900696,a,2018,Newcastle United,Watford,Stefano Okaka,2018-11-03 15:00:00,0,0,0,0,False,0,1,0.0,0.0,0,False,0.3623188405797102,0.36363636363636365,False,-1,-1,True,False,0.0,2.2142857142857144,0.0,1.0
5040,233611,66,0.4625470042228699,a,2018,Crystal Palace,Southampton,Mohamed Elyounoussi,2018-09-01 14:00:00,0,0,0,0,False,1,0,0.0377747006714344,0.0,0,False,0.3194888178913738,0.4065040650406504,True,2,1,False,False,0.0,-1.0,1.0,0.0
5042,233895,26,0.2629059851169586,h,2018,Southampton,Brighton,Mohamed Elyounoussi,2018-09-17 19:00:00,0,0,0,0,False,0,0,0.0413581989705562,0.0,1,False,0.5025125628140703,0.23640661938534277,False,-1,0,False,True,0.0,-0.04255319148936165,0.0,0.0
5047,249580,2,0.2828550040721893,h,2018,Southampton,Newcastle United,Mohamed Elyounoussi,2018-10-27 14:00:00,0,0,0,0,False,0,0,0.0,0.0,1,False,0.5025125628140703,0.23923444976076558,False,-1,0,False,True,0.0,-0.23728813559322037,0.0,0.0
5051,251004,91,0.4440509974956512,a,2018,Tottenham,Southampton,Mohamed Elyounoussi,2018-12-05 20:00:00,0,0,0,0,False,0,3,0.0,0.0,0,False,0.09514747859181732,0.7575757575757576,False,-1,-3,False,False,0.0,-1.0,0.0,3.0
5063,250914,53,0.6144840121269226,h,2018,Burnley,Liverpool,Jack Cork,2018-12-05 19:45:00,0,0,0,0,True,0,0,0.0,1.6273816409619597,1,False,0.09319664492078285,0.7633587786259541,False,-1,0,False,True,0.0,0.34328358208955234,0.0,0.0
5080,233631,33,0.39478200674057,a,2018,Everton,Huddersfield,Philip Billing,2018-09-01 14:00:00,0,0,0,0,True,0,0,0.0,2.5330435099012694,0,False,0.14388489208633093,0.6329113924050632,False,2,0,False,True,0.0,0.034482758620689724,0.0,0.0
5128,274950,78,0.252595990896225,h,2018,Huddersfield,Everton,Elias Kachunga,2019-01-29 19:45:00,0,0,0,0,False,0,1,0.0978951007127761,0.0,1,False,0.27322404371584696,0.4484304932735426,False,-1,-1,True,False,0.0,1.1428571428571428,0.0,1.0
5145,274755,54,0.4577080011367798,a,2018,Watford,Burnley,Dwight McNeil,2019-01-19 15:00:00,0,0,0,0,False,0,0,0.049762800335884,0.0,0,False,0.18656716417910446,0.5882352941176471,True,2,0,False,True,0.0,0.36363636363636354,0.0,0.0
5171,275008,91,0.5392659902572632,h,2018,Manchester United,Burnley,Victor Lindelöf,2019-01-29 20:00:00,0,0,0,0,True,1,2,0.0593013018369674,1.8543724582426164,1,False,0.7518796992481203,0.09900990099009901,False,-1,-1,True,False,0.0,2.103448275862069,0.0,1.0
5182,233839,14,0.3319509923458099,h,2018,Manchester City,Fulham,Raheem Sterling,2018-09-15 14:00:00,0,0,1,0,False,1,0,0.0740557983517646,0.0,1,False,0.9174311926605504,0.034891835310537335,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5184,233854,46,0.9513049721717834,h,2018,Manchester City,Fulham,Raheem Sterling,2018-09-15 14:00:00,0,0,0,0,True,2,0,0.5552947893738747,1.0511876099176147,1,False,0.9174311926605504,0.034891835310537335,True,-1,2,False,False,0.0,-1.0,2.0,0.0
5188,234387,28,0.7855169773101807,h,2018,Manchester City,Brighton,Raheem Sterling,2018-09-29 14:00:00,0,0,0,0,True,0,0,0.0,1.2730469600087655,1,False,0.9174311926605504,0.03429355281207133,False,-1,0,False,True,0.0,-0.021739130434782594,0.0,0.0
5192,249733,54,0.5506129860877991,a,2018,Tottenham,Manchester City,Raheem Sterling,2018-10-29 19:00:00,0,0,0,0,False,1,0,0.101292997598648,0.0,0,False,0.6134969325153374,0.18832391713747648,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5193,249931,46,0.5584549903869629,h,2018,Manchester City,Southampton,Raheem Sterling,2018-11-04 15:00:00,0,0,1,0,True,2,1,0.0,1.7906546046031089,1,False,0.9009009009009008,0.03881987577639751,True,-1,1,False,False,0.0,-1.0,1.0,0.0
5200,250257,18,0.8550270199775696,a,2018,West Ham,Manchester City,Raheem Sterling,2018-11-24 15:00:00,0,0,0,0,True,1,0,0.0,1.1695536826733657,0,False,0.8064516129032259,0.0827129859387924,False,2,1,False,False,0.0,-1.0,1.0,0.0
5201,250570,52,0.2358720004558563,h,2018,Manchester City,Bournemouth,Raheem Sterling,2018-12-01 15:00:00,0,0,1,0,False,1,1,0.0,0.0,1,False,0.8849557522123894,0.04384042086804034,False,-1,0,False,True,0.0,0.32352941176470584,0.0,0.0
5202,250573,56,0.5761659741401672,h,2018,Manchester City,Bournemouth,Raheem Sterling,2018-12-01 15:00:00,0,0,0,0,True,1,1,0.2358720004558563,1.7356109955856647,1,False,0.8849557522123894,0.04384042086804034,True,-1,0,False,True,0.0,0.40625,0.0,0.0
5205,251257,68,0.6059370040893555,h,2018,Manchester City,Everton,Raheem Sterling,2018-12-15 12:30:00,0,0,0,0,True,2,1,0.0,1.6503365750089318,1,False,0.819672131147541,0.0794912559618442,True,2,1,False,False,0.0,-1.0,1.0,0.0
5207,263766,54,0.2373889982700348,a,2018,Southampton,Manchester City,Raheem Sterling,2018-12-30 14:15:00,0,0,0,0,False,2,1,0.0,0.0,0,False,0.819672131147541,0.07942811755361398,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5211,274608,68,0.5710890293121338,h,2018,Manchester City,Wolverhampton Wanderers,Raheem Sterling,2019-01-14 20:00:00,0,0,0,0,False,2,0,0.114454198628664,0.0,1,False,0.8403361344537815,0.05824111822947,True,-1,2,False,False,0.0,-1.0,2.0,0.0
5212,274824,53,0.6436489820480347,a,2018,Huddersfield,Manchester City,Raheem Sterling,2019-01-20 13:30:00,0,0,0,0,True,1,0,0.0,1.5536418574268347,0,False,0.8928571428571428,0.041841004184100423,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5217,275601,3,0.443354994058609,h,2018,Manchester City,Chelsea,Raheem Sterling,2019-02-10 16:00:00,0,0,1,0,True,0,0,0.0,2.255528895356947,1,False,0.6451612903225806,0.1597444089456869,True,-1,0,False,True,0.0,-0.23076923076923073,0.0,0.0
5218,275626,79,0.5897970199584961,h,2018,Manchester City,Chelsea,Raheem Sterling,2019-02-10 16:00:00,1,0,0,0,True,5,0,0.443354994058609,1.6954985633368744,1,False,0.6451612903225806,0.1597444089456869,False,-1,5,False,False,0.0,-1.0,5.0,0.0
5221,276037,76,0.4766939878463745,h,2018,Manchester City,West Ham,Raheem Sterling,2019-02-27 20:00:00,0,0,0,0,False,1,0,0.1368735954165458,0.0,1,False,0.9090909090909091,0.0426075841499787,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5228,284670,49,0.9632019996643066,h,2018,Manchester City,Watford,Raheem Sterling,2019-03-09 17:30:00,1,0,1,0,True,1,0,0.2316390015184879,1.03820382468944,1,False,0.9009009009009008,0.043478260869565216,False,-1,1,False,False,0.0,-1.0,1.0,0.0
5235,294154,9,0.4872649908065796,a,2018,Crystal Palace,Manchester City,Raheem Sterling,2019-04-14 14:05:00,0,0,1,0,False,0,0,0.0,0.0,0,False,0.8130081300813008,0.07639419404125286,True,2,0,False,True,0.0,-0.18918918918918914,0.0,0.0
