id,minute,xG,h_a,season,h_team,a_team,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG
376626,84,0.025401700288057327,h,2020,Liverpool,Leeds,2020-09-12 16:30:00,0,0,0,0,False,3,3,0.0
376627,86,0.10476099699735641,h,2020,Liverpool,Leeds,2020-09-12 16:30:00,0,0,0,0,False,3,3,0.0
387023,13,0.14017899334430695,a,2020,Chelsea,Liverpool,2020-09-20 15:30:00,0,0,0,0,False,0,0,0.10476099699735641
380015,75,0.08768340200185776,h,2020,Liverpool,Arsenal,2020-09-28 19:15:00,0,0,0,0,False,2,1,0.0
381493,14,0.3330259919166565,a,2020,Aston Villa,Liverpool,2020-10-04 18:15:00,0,0,0,0,False,0,1,0.0
381495,20,0.0634365975856781,a,2020,Aston Villa,Liverpool,2020-10-04 18:15:00,0,0,0,0,False,0,1,0.0
381678,12,0.0783320963382721,a,2020,Everton,Liverpool,2020-10-17 11:30:00,0,0,0,0,False,1,0,0.0634365975856781
381677,12,0.0992501974105835,a,2020,Everton,Liverpool,2020-10-17 11:30:00,0,0,0,0,False,1,0,0.0
383641,40,0.815625011920929,h,2020,Liverpool,Sheffield United,2020-10-24 19:00:00,0,0,0,0,True,0,1,0.0992501974105835
383650,65,0.019090499728918076,h,2020,Liverpool,Sheffield United,2020-10-24 19:00:00,1,0,0,0,False,2,1,0.0
383651,66,0.03288469836115837,h,2020,Liverpool,Sheffield United,2020-10-24 19:00:00,1,0,0,0,False,2,1,0.019090499728918076
386771,4,0.017772499471902847,a,2020,Manchester City,Liverpool,2020-11-08 16:30:00,0,0,0,0,False,0,0,0.05197519809007645
386784,55,0.0309922993183136,a,2020,Manchester City,Liverpool,2020-11-08 16:30:00,0,0,0,0,False,1,1,0.0
388178,31,0.4163239896297455,h,2020,Liverpool,Leicester,2020-11-22 19:15:00,0,0,1,0,False,0,0,0.0309922993183136
388189,56,0.1153390035033226,h,2020,Liverpool,Leicester,2020-11-22 19:15:00,0,0,1,0,False,1,0,0.0
388188,56,0.5687519907951355,h,2020,Liverpool,Leicester,2020-11-22 19:15:00,0,0,1,0,False,1,0,0.1153390035033226
388195,76,0.6696360111236572,h,2020,Liverpool,Leicester,2020-11-22 19:15:00,0,0,1,0,False,1,0,0.6840909942984581
388194,76,0.5278109908103943,h,2020,Liverpool,Leicester,2020-11-22 19:15:00,0,0,1,0,False,1,0,1.3537270054221153
