id,minute,xG,h_a,season,h_team,a_team,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG
532431,63,0.08394410461187363,a,2023,Brentford,Tottenham,2023-08-13 13:00:00,0,0,0,0,False,2,2,0.07364965975284576
532435,88,0.14155685901641846,a,2023,Brentford,Tottenham,2023-08-13 13:00:00,0,0,0,0,False,2,2,0.0
534437,14,0.051003530621528625,a,2023,Bournemouth,Tottenham,2023-08-26 11:30:00,0,0,0,0,False,0,0,0.14155685901641846
534445,39,0.03988540917634964,a,2023,Bournemouth,Tottenham,2023-08-26 11:30:00,0,0,0,0,False,1,0,0.0
538626,88,0.051656533032655716,h,2023,Tottenham,Sheffield United,2023-09-16 14:00:00,0,0,1,0,False,0,1,0.03988540917634964
538630,97,0.3379036784172058,h,2023,Tottenham,Sheffield United,2023-09-16 14:00:00,0,0,0,0,True,0,1,0.0
539657,94,0.09192495048046112,a,2023,Arsenal,Tottenham,2023-09-24 13:00:00,0,0,0,0,False,2,1,0.3379036784172058
539658,95,0.05570416525006294,a,2023,Arsenal,Tottenham,2023-09-24 13:00:00,0,0,0,0,False,2,1,0.0
539659,99,0.07698847353458405,a,2023,Arsenal,Tottenham,2023-09-24 13:00:00,0,0,0,0,False,2,1,0.05570416525006294
541479,32,0.07986857742071152,h,2023,Tottenham,Liverpool,2023-09-30 16:30:00,0,0,0,0,False,0,0,0.132692638784647
541482,40,0.11204081028699875,h,2023,Tottenham,Liverpool,2023-09-30 16:30:00,0,0,0,0,False,1,0,0.0
541489,48,0.04726774990558624,h,2023,Tottenham,Liverpool,2023-09-30 16:30:00,0,0,0,0,False,1,1,0.11204081028699875
541500,79,0.4225606620311737,h,2023,Tottenham,Liverpool,2023-09-30 16:30:00,0,0,0,0,False,1,1,0.159308560192585
541503,91,0.08731226623058319,h,2023,Tottenham,Liverpool,2023-09-30 16:30:00,0,0,0,0,False,1,1,0.5818692222237587
542402,2,0.5985307693481445,a,2023,Luton,Tottenham,2023-10-07 11:30:00,0,0,0,0,False,0,0,0.6691814884543419
542403,3,0.38753989338874817,a,2023,Luton,Tottenham,2023-10-07 11:30:00,0,0,0,0,False,0,0,0.0
542409,18,0.016167113557457924,a,2023,Luton,Tottenham,2023-10-07 11:30:00,0,0,0,0,False,0,0,0.38753989338874817
542414,29,0.01662948541343212,a,2023,Luton,Tottenham,2023-10-07 11:30:00,0,0,0,0,False,0,0,0.4037070069462061
545038,29,0.11034219712018967,h,2023,Tottenham,Fulham,2023-10-23 19:00:00,0,0,0,0,False,0,0,0.4203364923596382
545046,51,0.08475019782781601,h,2023,Tottenham,Fulham,2023-10-23 19:00:00,0,0,0,0,False,1,0,0.0
545050,74,0.03410617262125015,h,2023,Tottenham,Fulham,2023-10-23 19:00:00,0,0,0,0,False,2,0,0.08475019782781601
545155,19,0.023988788947463036,a,2023,Crystal Palace,Tottenham,2023-10-27 19:00:00,0,0,0,0,False,0,0,0.11885637044906616
552469,69,0.33097755908966064,h,2023,Tottenham,West Ham,2023-12-07 20:15:00,0,0,0,0,False,1,1,0.0
552479,94,0.016227705404162407,h,2023,Tottenham,West Ham,2023-12-07 20:15:00,0,0,0,0,False,1,2,0.0
553618,3,0.06520391255617142,h,2023,Tottenham,Newcastle United,2023-12-10 16:30:00,0,0,1,0,False,0,0,0.016227705404162407
553619,4,0.06387117505073547,h,2023,Tottenham,Newcastle United,2023-12-10 16:30:00,0,0,1,0,False,0,0,0.0
553628,37,0.5243200659751892,h,2023,Tottenham,Newcastle United,2023-12-10 16:30:00,0,0,1,0,True,1,0,0.06387117505073547
553632,43,0.02284274809062481,h,2023,Tottenham,Newcastle United,2023-12-10 16:30:00,1,0,1,0,False,2,0,0.5881912410259247
553633,48,0.13972102105617523,h,2023,Tottenham,Newcastle United,2023-12-10 16:30:00,1,0,1,0,False,2,0,0.6110339891165495
553636,59,0.34033554792404175,h,2023,Tottenham,Newcastle United,2023-12-10 16:30:00,1,0,0,0,True,2,0,0.7507550101727247
554067,46,0.5200366377830505,a,2023,Nottingham Forest,Tottenham,2023-12-15 20:00:00,0,0,0,0,True,0,0,1.0910905580967665
556186,8,0.3821038603782654,h,2023,Tottenham,Everton,2023-12-23 15:00:00,0,0,0,0,True,0,0,0.0
556692,45,0.10475901514291763,a,2023,Brighton,Tottenham,2023-12-28 19:30:00,0,0,0,0,False,0,2,0.0
556696,52,0.09502623975276947,a,2023,Brighton,Tottenham,2023-12-28 19:30:00,0,0,0,0,False,0,2,0.0
557176,3,0.08569850027561188,h,2023,Tottenham,Bournemouth,2023-12-31 14:00:00,0,0,1,0,False,0,0,0.09502623975276947
557195,51,0.4580155909061432,h,2023,Tottenham,Bournemouth,2023-12-31 14:00:00,0,0,1,0,False,1,0,0.0
557201,72,0.03180912137031555,h,2023,Tottenham,Bournemouth,2023-12-31 14:00:00,0,0,1,0,False,2,0,0.4580155909061432
557200,72,0.09628812968730927,h,2023,Tottenham,Bournemouth,2023-12-31 14:00:00,0,0,1,0,False,2,0,0.48982471227645874
557203,79,0.5135740041732788,h,2023,Tottenham,Bournemouth,2023-12-31 14:00:00,0,0,0,0,True,2,0,0.586112841963768
