,id,minute,xG,h_a,season,h_team,a_team,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,ScaledIsGoal,IsHome,HomeOdds,AwayOdds
8206,312512,91,0.0744516998529434,h,2019,Sheffield United,Leicester,2019-08-24 15:00:00,0,0,0,0,False,1,2,0.0,True,2.0,2.0
2798,312538,2,0.7611690163612366,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,True,0,0,1.313768661762526,False,2.0,2.0
286,312539,5,0.2483659982681274,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,0,1,0.0,True,2.0,2.0
5375,312540,8,0.1388729959726333,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,0,0.0,False,2.0,2.0
5803,312543,11,0.0748066008090972,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,0,1,0.0,True,2.0,2.0
1170,312545,16,0.0713580995798111,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,True,0,1,14.013826123291599,True,2.0,2.0
1171,312546,19,0.0603195987641811,h,2019,Watford,West Ham,2019-08-24 15:00:00,1,0,0,0,False,1,1,0.0,True,2.0,2.0
7826,312547,21,0.124047003686428,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,1,0,False,1,1,0.0,False,2.0,2.0
1172,312548,26,0.1159209981560707,h,2019,Watford,West Ham,2019-08-24 15:00:00,1,0,0,0,False,1,1,0.0,True,2.0,2.0
288,312549,31,0.0554456003010273,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1,0.0,True,2.0,2.0
289,312552,36,0.0404845997691154,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1,0.0,True,2.0,2.0
5804,312553,38,0.1262689977884292,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1,0.0,True,2.0,2.0
139,312554,39,0.0509581007063388,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1,0.0,True,2.0,2.0
1964,312555,41,0.0812899023294448,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1,0.0,False,2.0,2.0
7827,312556,42,0.0841602012515068,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,1,0,False,1,1,0.0,False,2.0,2.0
140,312557,46,0.1159150004386901,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1,0.0,True,2.0,2.0
1965,312558,47,0.0953470021486282,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1,0.0,False,2.0,2.0
290,312560,53,0.0593621991574764,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1,0.0,True,2.0,2.0
5531,312561,54,0.8419780135154724,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,1,0.0,True,2.0,2.0
7828,312564,63,0.6775670051574707,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,1,0,True,1,1,1.4758687958360575,False,2.0,2.0
1966,312566,68,0.0999459028244018,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,2,1,0.0,False,2.0,2.0
7885,312567,71,0.3294729888439178,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,2,1,0.0,False,2.0,2.0
7829,312569,72,0.9362149834632874,a,2019,Watford,West Ham,2019-08-24 15:00:00,1,0,0,0,True,2,1,1.0681307367040382,False,2.0,2.0
7886,312568,72,0.1249610036611557,a,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,2,1,0.0,False,2.0,2.0
141,312570,80,0.1052080020308494,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,3,0.0,True,2.0,2.0
5805,312573,82,0.0657083019614219,h,2019,Watford,West Ham,2019-08-24 15:00:00,0,0,0,0,False,1,3,0.0,True,2.0,2.0
1174,312575,85,0.0600093007087707,h,2019,Watford,West Ham,2019-08-24 15:00:00,1,0,0,0,False,1,3,0.0,True,2.0,2.0
