,0,1,2,3,4,5,6,7,8,9,10,11
0,minute,IsHome,ScoredEarlier,MyScore,OppScore,ChasingEq,ChasingWinner,WinProb,PrevAccumXG,rnd1,rnd2,bias
1,-0.0002529022061545274,0.10970699018712876,-0.0685884681796195,-0.02601341851770589,-0.04204002409503723,-0.02612290545195159,-0.06610706886431691,0.1722079748432501,0.06856059183830374,-0.0005810199220869063,-0.008886458959957494,0.8046678982499038
