,0,1,2,3,4,5,6,7,8,9,10,11
0,minute,IsHome,ScoredEarlier,MyScore,OppScore,ChasingEq,ChasingWinner,WinProb,PrevAccumXG,rnd1,rnd2,bias
1,0.001311599598976646,-0.07588126773773671,-0.03923047803973954,-0.02455855331200279,-0.06621327133324623,-0.0874496299751131,-0.06867253241382662,0.08209689303826777,0.11250661009841154,0.01686077748354364,0.007051110362213949,0.8852080527217508
