,id,minute,xG,h_a,season,h_team,a_team,player,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG,ScaledIsGoal,IsHome,WinProb,LoseProb,rnd1,rnd2,ScoreDiff,ChasingEq,ChasingWinner,WastedXG,Urgency,WinningUnderdog,LosingFavorite
5,538630,97,0.3379036784172058,h,2023,Tottenham,Sheffield United,Richarlison,2023-09-16 14:00:00,0,0,0,0,True,0,1,0.0516565330326557,2.9594232435827803,1,0.7692307692307692,0.10504201680672269,False,2,-1,True,False,0.0,2.9130434782608696,0.0,1.0
12,541500,79,0.4225606620311737,h,2023,Tottenham,Liverpool,Richarlison,2023-09-30 16:30:00,0,0,0,0,False,1,1,0.2391771376132965,0.0,1,0.33222591362126247,0.4444444444444444,True,-1,0,False,True,0.0,1.1951219512195124,0.0,0.0
14,542402,2,0.5985307693481445,a,2023,Luton,Tottenham,Richarlison,2023-10-07 11:30:00,0,0,0,0,False,0,0,0.0,0.0,0,0.6896551724137931,0.14513788098693758,False,-1,0,False,True,0.0,-0.23728813559322037,0.0,0.0
15,542403,3,0.3875398933887481,a,2023,Luton,Tottenham,Richarlison,2023-10-07 11:30:00,0,0,0,0,False,0,0,0.5985307693481445,0.0,0,0.6896551724137931,0.14513788098693758,True,2,0,False,True,0.0,-0.23076923076923073,0.0,0.0
22,552469,69,0.3309775590896606,h,2023,Tottenham,West Ham,Richarlison,2023-12-07 20:15:00,0,0,0,0,False,1,1,0.0,0.0,1,0.591715976331361,0.20703933747412007,False,-1,0,False,True,0.0,0.7647058823529411,0.0,0.0
26,553628,37,0.5243200659751892,h,2023,Tottenham,Newcastle United,Richarlison,2023-12-10 16:30:00,0,0,1,0,True,1,0,0.1290750876069069,1.907231984608653,1,0.4807692307692307,0.29940119760479045,False,-1,1,False,False,0.0,-1.0,1.0,0.0
29,553636,59,0.3403355479240417,h,2023,Tottenham,Newcastle United,Richarlison,2023-12-10 16:30:00,1,0,0,0,True,2,0,0.8159589227288961,2.9382766687163295,1,0.4807692307692307,0.29940119760479045,False,-1,2,False,False,0.0,-1.0,2.0,0.0
30,554067,46,0.5200366377830505,a,2023,Nottingham Forest,Tottenham,Richarlison,2023-12-15 20:00:00,0,0,0,0,True,0,0,0.0,1.9229414378630398,0,0.5952380952380952,0.2004008016032064,True,2,0,False,True,0.0,0.21621621621621623,0.0,0.0
31,556186,8,0.3821038603782654,h,2023,Tottenham,Everton,Richarlison,2023-12-23 15:00:00,0,0,0,0,True,0,0,0.0,2.6170894976304235,1,0.5813953488372093,0.2178649237472767,False,-1,0,False,True,0.0,-0.1964285714285714,0.0,0.0
35,557195,51,0.4580155909061432,h,2023,Tottenham,Bournemouth,Richarlison,2023-12-31 14:00:00,0,0,1,0,False,1,0,0.0856985002756118,0.0,1,0.5649717514124294,0.2506265664160401,False,2,1,False,False,0.0,-1.0,1.0,0.0
38,557203,79,0.5135740041732788,h,2023,Tottenham,Bournemouth,Richarlison,2023-12-31 14:00:00,0,0,0,0,True,2,0,0.6718113422393799,1.9471390527441923,1,0.5649717514124294,0.2506265664160401,False,-1,2,False,False,0.0,-1.0,2.0,0.0
43,560726,55,0.5600214004516602,h,2023,Tottenham,Brentford,Richarlison,2024-01-31 19:30:00,0,0,0,0,True,2,1,0.1031836606562137,1.78564604708587,1,0.6097560975609756,0.2012072434607646,False,-1,1,False,False,0.0,-1.0,1.0,0.0
45,560971,3,0.4753622710704803,a,2023,Everton,Tottenham,Richarlison,2024-02-03 12:30:00,0,0,1,0,True,0,0,0.0,2.1036587479861932,0,0.4566210045662101,0.31746031746031744,True,2,0,False,True,0.0,-0.23076923076923073,0.0,0.0
50,562563,21,0.274502158164978,h,2023,Tottenham,Brighton,Richarlison,2024-02-10 15:00:00,0,0,0,0,False,0,1,0.0643962621688842,0.0,1,0.5714285714285714,0.24271844660194175,False,2,-1,True,False,0.0,-0.09090909090909094,0.0,1.0
59,579026,71,0.2830226123332977,a,2023,Liverpool,Tottenham,Richarlison,2024-05-05 15:30:00,0,0,0,0,True,0,4,0.0,3.533286587088539,0,0.16501650165016502,0.6944444444444444,False,-1,-4,False,False,0.0,-1.0,0.0,4.0
64,533144,27,0.322572261095047,h,2023,Wolverhampton Wanderers,Brighton,Fabio Silva,2023-08-19 14:00:00,0,0,0,0,False,0,1,0.0,0.0,1,0.23529411764705882,0.5586592178770949,False,-1,-1,True,False,0.0,-0.032258064516129004,0.0,1.0
65,534663,59,0.280426412820816,a,2023,Everton,Wolverhampton Wanderers,Fabio Silva,2023-08-26 14:00:00,0,0,0,0,False,0,0,0.0,0.0,0,0.32679738562091504,0.4098360655737705,False,2,0,False,True,0.0,0.47540983606557385,0.0,0.0
71,533155,53,0.3136484622955322,a,2023,Wolverhampton Wanderers,Brighton,Julio Enciso,2023-08-19 14:00:00,0,0,0,0,False,3,0,0.1246193125844001,0.0,0,0.5586592178770949,0.23529411764705882,False,-1,3,False,False,0.0,-1.0,3.0,0.0
89,579937,41,0.2968314886093139,a,2023,Newcastle United,Brighton,Julio Enciso,2024-05-11 14:00:00,0,0,0,0,False,1,0,0.0,0.0,0,0.20202020202020202,0.625,False,-1,1,False,False,0.0,-1.0,1.0,0.0
96,557314,85,0.4530795216560364,a,2023,West Ham,Brighton,Jakub Moder,2024-01-02 18:30:00,0,0,0,0,False,0,0,0.0,0.0,0,0.4329004329004329,0.32679738562091504,True,-1,0,False,True,0.0,1.5714285714285716,0.0,0.0
114,534725,99,0.5712023377418518,h,2023,Arsenal,Fulham,Jakub Kiwior,2023-08-26 14:00:00,0,0,0,0,False,2,2,0.0,0.0,1,0.78125,0.09380863039399624,True,-1,0,False,True,0.0,3.2857142857142856,0.0,0.0
116,561874,83,0.3114717602729797,h,2023,Arsenal,Liverpool,Jakub Kiwior,2024-02-04 16:30:00,0,0,0,0,False,2,0,0.0,0.0,1,0.4504504504504504,0.3115264797507788,False,-1,2,False,False,0.0,-1.0,2.0,0.0
