,id,minute,xG,h_a,season,h_team,a_team,player,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore,PrevAccumXG,ScaledIsGoal,IsHome,WinProb,LoseProb,rnd1,rnd2,ScoreDiff,ChasingEq,ChasingWinner,WastedXG,Urgency,WinningUnderdog,LosingFavorite
0,376945,15,0.5306969881057739,a,2020,Tottenham,Everton,Richarlison,2020-09-13 15:30:00,0,0,0,0,False,0,0,0.0,0.0,0,0.2638522427440633,0.4854368932038835,True,2,0,False,True,0.0,-0.1428571428571429,0.0,0.0
15,381696,58,0.5023400187492371,h,2020,Everton,Liverpool,Richarlison,2020-10-17 11:30:00,0,0,0,0,False,1,1,0.0266676004976034,0.0,1,0.23584905660377356,0.5617977528089888,True,2,0,False,True,0.0,0.4516129032258065,0.0,0.0
37,403460,40,0.169510006904602,a,2020,Manchester United,Everton,Richarlison,2021-02-06 20:00:00,0,0,0,0,False,0,1,0.0,0.0,0,0.17921146953405018,0.6172839506172839,False,-1,-1,True,False,0.0,0.125,0.0,1.0
40,405685,2,0.3536849915981293,a,2020,Liverpool,Everton,Richarlison,2021-02-20 17:30:00,0,0,0,0,True,0,0,0.0,2.8273747084417966,0,0.12547051442910917,0.7246376811594204,False,2,0,False,True,0.0,-0.23728813559322037,0.0,0.0
41,407650,8,0.6845399737358093,h,2020,Everton,Southampton,Richarlison,2021-03-01 20:00:00,0,0,0,0,True,0,0,0.0,1.4608350693424064,1,0.46511627906976744,0.28328611898017,False,-1,0,False,True,0.0,-0.1964285714285714,0.0,0.0
42,407652,35,0.3979339897632599,h,2020,Everton,Southampton,Richarlison,2021-03-01 20:00:00,1,0,0,0,False,1,0,0.6845399737358093,0.0,1,0.46511627906976744,0.28328611898017,True,-1,1,False,False,0.0,-1.0,1.0,0.0
47,408255,64,0.5755969882011414,a,2020,West Bromwich Albion,Everton,Richarlison,2021-03-04 18:00:00,0,0,0,0,True,0,0,0.252198401838541,1.7373266721307996,0,0.5050505050505051,0.24509803921568626,False,-1,0,False,True,0.0,0.6071428571428572,0.0,0.0
54,413407,22,0.3562029898166656,h,2020,Everton,Crystal Palace,Richarlison,2021-04-05 17:00:00,0,0,0,0,False,0,0,0.1272830069065094,0.0,1,0.5434782608695652,0.20491803278688525,True,-1,0,False,True,0.0,-0.08163265306122447,0.0,0.0
56,413414,43,0.1798949986696243,h,2020,Everton,Crystal Palace,Richarlison,2021-04-05 17:00:00,0,0,0,0,False,0,0,0.5603673979640007,0.0,1,0.5434782608695652,0.20491803278688525,False,-1,0,False,True,0.0,0.16883116883116878,0.0,0.0
63,415077,83,0.3398979902267456,h,2020,Everton,Tottenham,Richarlison,2021-04-16 19:00:00,0,0,0,0,False,2,2,0.1782349962741136,0.0,1,0.28169014084507044,0.46511627906976744,True,-1,0,False,True,0.0,1.4324324324324325,0.0,0.0
72,422777,39,0.2498060017824173,h,2020,Everton,Sheffield United,Richarlison,2021-05-16 18:00:00,0,0,0,0,False,0,1,0.0,0.0,1,0.7352941176470588,0.10893246187363835,True,-1,-1,True,False,0.0,0.11111111111111116,0.0,1.0
100,395820,95,0.2630110085010528,h,2020,Wolverhampton Wanderers,Tottenham,Fabio Silva,2020-12-27 19:15:00,0,0,0,0,False,1,1,0.1342852041125297,0.0,1,0.2770083102493075,0.4608294930875576,False,2,0,False,True,0.0,2.6,0.0,0.0
104,398841,37,0.4690479934215545,h,2020,Wolverhampton Wanderers,West Bromwich Albion,Fabio Silva,2021-01-16 12:30:00,0,0,0,0,True,0,1,0.0,2.131977993776972,1,0.6134969325153374,0.15625,False,-1,-1,True,False,0.0,0.0843373493975903,0.0,1.0
109,403788,76,0.4132480025291443,h,2020,Wolverhampton Wanderers,Leicester,Fabio Silva,2021-02-07 14:00:00,0,0,0,0,False,0,0,0.0,0.0,1,0.2949852507374631,0.4329004329004329,False,-1,0,False,True,0.0,1.0454545454545454,0.0,0.0
111,407005,91,0.5142470002174377,a,2020,Newcastle United,Wolverhampton Wanderers,Fabio Silva,2021-02-27 20:00:00,0,0,0,0,False,1,1,0.0,0.0,0,0.4444444444444444,0.273972602739726,True,-1,0,False,True,0.0,2.103448275862069,0.0,0.0
113,410798,104,0.6644520163536072,h,2020,Wolverhampton Wanderers,Liverpool,Fabio Silva,2021-03-15 20:00:00,0,0,0,0,False,0,1,0.0271841995418071,0.0,1,0.17271157167530224,0.6097560975609756,False,-1,-1,True,False,0.0,4.625,0.0,1.0
114,413487,67,0.2641299962997436,h,2020,Wolverhampton Wanderers,West Ham,Fabio Silva,2021-04-05 19:15:00,0,0,0,0,True,1,3,0.0,3.7860145156143736,1,0.3436426116838488,0.37735849056603776,True,-1,-2,False,False,0.0,-1.0,0.0,2.0
134,420094,68,0.3593150079250335,h,2020,Sheffield United,Crystal Palace,Daniel Jebbison,2021-05-08 14:00:00,0,0,0,0,False,0,1,0.0,0.0,1,0.33670033670033667,0.38759689922480617,False,-1,-1,True,False,0.0,0.7307692307692308,0.0,1.0
135,422767,6,0.6712549924850464,a,2020,Everton,Sheffield United,Daniel Jebbison,2021-05-16 18:00:00,0,0,0,0,True,0,0,0.0,1.4897468342066402,0,0.10893246187363835,0.7352941176470588,True,2,0,False,True,0.0,-0.21052631578947367,0.0,0.0
137,422774,33,0.3196780085563659,a,2020,Everton,Sheffield United,Daniel Jebbison,2021-05-16 18:00:00,1,0,0,0,False,1,0,0.8050009906291962,0.0,0,0.10893246187363835,0.7352941176470588,False,-1,1,False,False,0.0,-1.0,1.0,0.0
140,411536,3,0.3005129992961883,h,2020,Brighton,Newcastle United,Jakub Moder,2021-03-20 20:00:00,0,0,0,0,False,0,0,0.0318773984909057,0.0,1,0.5882352941176471,0.17035775127768313,False,2,0,False,True,0.0,-0.23076923076923073,0.0,0.0
152,384419,38,0.1747059971094131,h,2020,Sheffield United,Manchester City,Rhian Brewster,2020-10-31 12:30:00,0,0,0,0,False,0,1,0.0,0.0,1,0.0946073793755913,0.7751937984496123,False,-1,-1,True,False,0.0,0.09756097560975618,0.0,1.0
153,384426,70,0.3970060050487518,h,2020,Sheffield United,Manchester City,Rhian Brewster,2020-10-31 12:30:00,0,0,0,0,False,0,1,0.1747059971094131,0.0,1,0.0946073793755913,0.7751937984496123,True,-1,-1,True,False,0.0,0.8,0.0,1.0
156,389082,95,0.4167709946632385,a,2020,West Bromwich Albion,Sheffield United,Rhian Brewster,2020-11-28 20:00:00,0,0,0,0,False,0,1,0.0944037977606058,0.0,0,0.3436426116838488,0.37593984962406013,True,-1,-1,True,False,0.0,2.6,0.0,1.0
182,382937,46,0.338697999715805,a,2020,Leeds,Wolverhampton Wanderers,Daniel Podence,2020-10-19 19:00:00,0,0,0,0,False,0,0,0.0,0.0,0,0.33557046979865773,0.4048582995951417,False,-1,0,False,True,0.0,0.21621621621621623,0.0,0.0
188,384360,26,0.3633660078048706,h,2020,Wolverhampton Wanderers,Crystal Palace,Daniel Podence,2020-10-30 20:00:00,0,0,0,0,True,1,0,0.0249683000147342,2.7520460871975816,1,0.48780487804878053,0.2320185614849188,False,-1,1,False,False,0.0,-1.0,1.0,0.0
194,389675,41,0.4168869853019714,a,2020,Arsenal,Wolverhampton Wanderers,Daniel Podence,2020-11-29 19:15:00,0,0,0,0,True,1,1,0.0,2.398731635327142,0,0.25510204081632654,0.4807692307692307,False,-1,0,False,True,0.0,0.139240506329114,0.0,0.0
216,391619,0,0.3603659868240356,h,2020,Newcastle United,West Bromwich Albion,Miguel Almirón,2020-12-12 15:00:00,0,0,0,0,True,0,0,0.0,2.7749566733896383,1,0.4081632653061224,0.3215434083601286,True,-1,0,False,True,0.0,-0.25,0.0,0.0
225,401139,56,0.4657990038394928,h,2020,Newcastle United,Leeds,Miguel Almirón,2021-01-26 18:00:00,0,0,0,0,True,0,1,0.0205157008022069,2.1468487303690855,1,0.24509803921568626,0.5405405405405405,True,2,-1,True,False,0.0,0.40625,0.0,1.0
234,406974,11,0.2886300086975097,h,2020,Newcastle United,Wolverhampton Wanderers,Miguel Almirón,2021-02-27 20:00:00,0,0,0,0,False,0,0,0.0,0.0,1,0.273972602739726,0.4444444444444444,True,-1,0,False,True,0.0,-0.17431192660550454,0.0,0.0
237,413101,84,0.5661290287971497,h,2020,Newcastle United,Tottenham,Miguel Almirón,2021-04-04 13:05:00,0,0,0,0,False,1,2,0.0605284012854099,0.0,1,0.17953321364452424,0.5988023952095809,True,-1,-1,True,False,0.0,1.5,0.0,1.0
238,414230,89,0.326308012008667,a,2020,Burnley,Newcastle United,Miguel Almirón,2021-04-11 11:00:00,0,0,0,0,False,2,1,0.0,0.0,0,0.2976190476190476,0.4385964912280702,False,-1,1,False,False,0.0,-1.0,1.0,0.0
249,386021,81,0.3824310004711151,h,2020,Crystal Palace,Leeds,Patrick van Aanholt,2020-11-07 15:00:00,0,0,0,0,False,3,1,0.0662048980593681,0.0,1,0.3484320557491289,0.4016064257028112,True,-1,2,False,False,0.0,-1.0,2.0,0.0
261,408218,89,0.3360289931297302,h,2020,Crystal Palace,Manchester United,Patrick van Aanholt,2021-03-03 20:15:00,0,0,0,0,False,0,0,0.0,0.0,1,0.12836970474967907,0.6944444444444444,True,-1,0,False,True,0.0,1.903225806451613,0.0,0.0
318,424146,73,0.2772980034351349,h,2020,West Ham,Southampton,Declan Rice,2021-05-23 15:00:00,0,0,1,0,False,2,0,0.0,0.0,1,0.5617977528089888,0.21691973969631234,True,-1,2,False,False,0.0,-1.0,2.0,0.0
319,424151,85,0.3566370010375976,h,2020,West Ham,Southampton,Declan Rice,2021-05-23 15:00:00,0,0,0,0,True,2,0,0.2772980034351349,2.8039715371389,1,0.5617977528089888,0.21691973969631234,False,-1,2,False,False,0.0,-1.0,2.0,0.0
